uid,site,plot,year,season,location,management,dip_point,total,pipiens,maculipennis,claviger,annulata,morsitans,cantans,caspius,rhyne_dry,rhyne_cleared,exposure,landcover,width,depth,shaded,turbidity,salinity,water_temp,dissolved_oxygen,ph,cover_carex,cover_celery_leaved_buttercup,cover_duckweed,cover_frog_bit,cover_grass,cover_ivy_leaved_duckweed,cover_juncus,cover_marsh_bedstraw,cover_typha,cover_water_parsnip
15,81,3,2009,2,Godney,Tier1,5,0,0,0,0,0,0,0,0,0,0,5,rough pasture,2,20,0.85,0.751,0.58,18.55,129.4,6.04,0.3,0,0.7,0,0,0,0,0,0,0
16,81,3,2009,2,Godney,Tier1,6,0,0,0,0,0,0,0,0,0,0,5,rough pasture,2,10,0.9,NA,NA,NA,NA,NA,0.6,0,0.4,0,0,0,0,0,0,0
17,81,4,2009,2,Godney,Tier1,1,0,0,0,0,0,0,0,0,0,0,2,pasture,1.5,7,0.8,NA,NA,NA,NA,NA,0.15,0,0,0,0,0.5,0,0,0,0
18,81,4,2009,2,Godney,Tier1,2,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,7,0.8,NA,NA,NA,NA,NA,0.25,0,0,0,0,0.25,0,0,0,0
19,81,4,2009,2,Godney,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,7,0.8,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0,0,0,0
20,81,4,2009,2,Godney,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,7,0.8,NA,NA,NA,NA,NA,0.25,0,0,0,0,0.6,0,0,0,0
21,81,4,2009,2,Godney,Tier1,5,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,20,0.8,NA,NA,20,NA,NA,0,0,0,0,0,0.5,0,0,0,0
22,81,4,2009,2,Godney,Tier1,6,0,0,0,0,0,0,0,0,0,0,4,pasture,1.5,20,0.8,NA,NA,NA,NA,NA,0.1,0,0.02,0,0,0.58,0,0,0,0
23,82,1,2009,2,South Moor,Tier1,1,2,0,2,0,0,0,0,0,0,1,1,pasture,2.1,55,0.15,0.544,0.41,20.45,115.87,7.07,0,0,0.02,0,0,0,0,0,0,0
24,82,1,2009,2,South Moor,Tier1,2,0,0,0,0,0,0,0,0,0,1,1,pasture,2.1,47,0.15,NA,NA,NA,NA,NA,0,0,0.02,0,0,0,0,0,0,0
25,82,1,2009,2,South Moor,Tier1,3,0,0,0,0,0,0,0,0,0,1,1,pasture,2.1,50,0.15,0.542,0.41,20.77,114.4,7.23,0,0,0.05,0,0,0,0,0,0,0
26,82,1,2009,2,South Moor,Tier1,4,1,0,1,0,0,0,0,0,0,1,1,pasture,2.1,55,0.15,NA,NA,NA,NA,NA,0,0,0.02,0,0,0,0,0,0,0
27,82,1,2009,2,South Moor,Tier1,5,1,0,1,0,0,0,0,0,0,1,1,pasture,2.1,50,0.15,0.543,0.41,21,112.7,7.33,0,0,0.02,0,0,0,0,0,0,0
28,82,1,2009,2,South Moor,Tier1,6,1,0,1,0,0,0,0,0,0,1,1,pasture,2.1,50,0.15,NA,NA,NA,NA,NA,0,0,0.01,0,0,0,0,0,0,0
29,82,2,2009,2,South Moor,Tier1,1,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,60,0.4,0.447,0.33,22.8,102.3,7.65,0,0,0.075,0,0,0,0,0,0,0
30,82,2,2009,2,South Moor,Tier1,2,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,55,0.4,NA,NA,NA,NA,NA,0,0,0.075,0,0,0,0,0,0,0
31,82,2,2009,2,South Moor,Tier1,3,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,50,0.4,0.45,0.34,22.74,102.6,7.63,0,0,0.075,0,0,0.25,0,0,0,0
32,82,2,2009,2,South Moor,Tier1,4,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,58,0.4,NA,NA,NA,NA,NA,0,0,0.075,0,0,0.1,0,0,0,0
33,82,2,2009,2,South Moor,Tier1,5,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,60,0.4,0.441,0.33,23.62,98,8.13,0,0,0.075,0,0,0,0,0,0,0
34,82,2,2009,2,South Moor,Tier1,6,0,0,0,0,0,0,0,0,0,1,5,pasture,2.3,60,0.4,NA,NA,NA,NA,NA,0,0,0.075,0,0,0,0,0,0,0
35,82,3,2009,2,South Moor,Tier1,1,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,25,0.2,0.545,0.41,22.41,104.5,7.17,0,0,0.95,0,0,0,0,0,0,0
36,82,3,2009,2,South Moor,Tier1,2,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,35,0.2,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
37,82,3,2009,2,South Moor,Tier1,3,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,35,0.2,0.524,0.39,22.38,104.7,7.43,0,0,0.95,0,0,0,0,0,0,0
38,82,3,2009,2,South Moor,Tier1,4,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,38,0.2,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
39,82,3,2009,2,South Moor,Tier1,5,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,40,0.2,0.506,0.38,22.33,105,7.37,0,0,0.95,0,0,0,0,0,0,0
40,82,3,2009,2,South Moor,Tier1,6,0,0,0,0,0,0,0,0,0,0,1,pasture,1.7,38,0.2,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
41,82,4,2009,2,South Moor,Tier1,1,13,0,0,2,11,0,0,0,0,0,2,pasture,1,10,0.4,0.69,0.53,20,142,6.29,0.9,0,0,0,0,0,0,0,0,0
42,82,4,2009,2,South Moor,Tier1,2,22,0,0,2,20,0,0,0,0,0,2,pasture,1,10,0.4,0.678,0.53,24,141.9,6.13,0.9,0,0,0,0,0,0,0,0,0
43,82,4,2009,2,South Moor,Tier1,3,23,7,0,3,13,0,0,0,0,0,2,pasture,1,10,0.4,0.658,0.5,25,130.3,6.3,0.9,0,0,0,0,0,0,0,0,0
44,82,4,2009,2,South Moor,Tier1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,82,4,2009,2,South Moor,Tier1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,82,4,2009,2,South Moor,Tier1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,83,1,2009,2,Common Moor,Tier1,1,0,0,0,0,0,0,0,0,0,0,1,pasture,3,50,0.8,0.508,0.38,17.57,136.8,6.5,0,0,1,0,0,0,0,0,0,0
48,83,1,2009,2,Common Moor,Tier1,2,0,0,0,0,0,0,0,0,0,0,1,pasture,3,NA,0.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
49,83,1,2009,2,Common Moor,Tier1,3,0,0,0,0,0,0,0,0,0,0,5,pasture,3,60,0.6,0.313,0.23,19.3,124.1,6.6,0,0,0.4,0,0,0,0,0,0,0
50,83,1,2009,2,Common Moor,Tier1,4,0,0,0,0,0,0,0,0,0,0,1,pasture,3,NA,0.3,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
51,83,1,2009,2,Common Moor,Tier1,5,22,21,0,0,1,0,0,0,0,0,5,pasture,3,NA,0.6,0.486,0.37,17.23,139.4,6.4,0,0,0.5,0,0,0,0,0,0,0
52,83,1,2009,2,Common Moor,Tier1,6,14,13,0,0,1,0,0,0,0,0,5,pasture,3,NA,0.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
53,83,2,2009,2,Common Moor,Tier1,1,0,0,0,0,0,0,0,0,0,0,2,pasture,1.95,40,0.9,0.475,0.36,22,137.5,6.17,0,0,1,0,0,0,0,0,0,0
54,83,2,2009,2,Common Moor,Tier1,2,0,0,0,0,0,0,0,0,0,0,2,pasture,1.95,NA,0.9,NA,NA,NA,NA,NA,0.02,0,0.98,0,0,0,0,0,0,0
55,83,2,2009,2,Common Moor,Tier1,3,0,0,0,0,0,0,0,0,0,0,1,pasture,1.95,50,0.05,0.46,0.35,24,135.1,6.15,0,0,1,0,0,0,0,0,0,0
56,83,2,2009,2,Common Moor,Tier1,4,0,0,0,0,0,0,0,0,0,0,1,pasture,1.95,NA,0.05,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
57,83,2,2009,2,Common Moor,Tier1,5,0,0,0,0,0,0,0,0,0,0,1,pasture,1.95,NA,0.05,0.394,0.29,26,126.2,6.84,0,0,1,0,0,0,0,0,0,0
58,83,2,2009,2,Common Moor,Tier1,6,0,0,0,0,0,0,0,0,0,0,1,pasture,1.95,NA,0.05,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
59,83,3,2009,2,Common Moor,Tier1,1,1,1,0,0,0,0,0,0,0,1,1,rough pasture,2,50,0.05,0.378,0.28,19.43,123,6.75,0,0,1,0,0,0,0,0,0,0
60,83,3,2009,2,Common Moor,Tier1,2,1,1,0,0,0,0,0,0,0,1,1,rough pasture,2,NA,0.05,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
61,83,3,2009,2,Common Moor,Tier1,3,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2,50,0.05,0.389,0.29,19.3,124.4,7.1,0,0,0.525,0,0,0,0,0,0,0
62,83,3,2009,2,Common Moor,Tier1,4,3,1,0,0,2,0,0,0,0,1,1,rough pasture,2,NA,0.05,NA,NA,NA,NA,NA,0,0,0.95,0,0,0,0,0,0,0
63,83,3,2009,2,Common Moor,Tier1,5,10,7,0,0,3,0,0,0,0,1,1,rough pasture,2,NA,0.05,0.378,0.28,20.03,119,7.07,0,0,1,0,0,0,0,0,0,0
64,83,3,2009,2,Common Moor,Tier1,6,3,1,0,0,2,0,0,0,0,1,1,rough pasture,2,NA,0.05,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
65,83,4,2009,2,Common Moor,Tier1,1,9,7,0,0,1,0,0,0,0,1,1,rough pasture,2.9,40,0.05,0.449,0.34,19.16,125.1,7.09,0,0,0.025555555,0,0,0,0,0,0,0
66,83,4,2009,2,Common Moor,Tier1,2,5,3,2,0,0,0,0,0,0,1,1,rough pasture,2.9,NA,0.05,NA,NA,NA,NA,NA,0,0,0.025555555,0,0,0,0,0,0,0
67,83,4,2009,2,Common Moor,Tier1,3,2,2,0,0,0,0,0,0,0,1,1,rough pasture,2.9,40,0.05,0.506,0.38,19.07,125.6,7.09,0,0,0,0,0,0,0,0,0,0
68,83,4,2009,2,Common Moor,Tier1,4,1,1,0,0,0,0,0,0,0,1,1,rough pasture,2.9,NA,0.05,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
69,83,4,2009,2,Common Moor,Tier1,5,1,1,0,0,0,0,0,0,0,1,1,rough pasture,2.9,NA,0.05,0.507,0.38,18.52,129.5,7.17,0,0,0.2,0,0,0,0,0,0,0
70,83,4,2009,2,Common Moor,Tier1,6,1,1,0,0,0,0,0,0,0,1,1,rough pasture,2.9,NA,0.05,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
71,84,1,2009,2,Walton Moor,Tier3,1,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,50,0.3,0.447,0.34,18,131.2,5.77,0,0,0.32,0,0,0.24,0,0,0,0
72,84,1,2009,2,Walton Moor,Tier3,2,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,55,0.3,NA,NA,NA,NA,NA,0,0,0.32,0,0,0.24,0,0,0,0
73,84,1,2009,2,Walton Moor,Tier3,3,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,50,0.3,0.449,0.34,18.45,129.4,6.02,0,0,0.32,0,0,0.24,0,0,0,0
74,84,1,2009,2,Walton Moor,Tier3,4,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,45,0.3,NA,NA,NA,NA,NA,0,0,0.32,0,0,0.24,0,0,0,0
75,84,1,2009,2,Walton Moor,Tier3,5,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,75,0.3,NA,NA,NA,NA,NA,0,0,0.32,0,0,0.24,0,0,0,0
76,84,1,2009,2,Walton Moor,Tier3,6,0,0,0,0,0,0,0,0,0,1,1,rough pasture,2.4,45,0.3,0.402,0.3,20.95,113.9,6.72,0,0,0.32,0,0,0.31,0,0,0,0
77,84,2,2009,2,Walton Moor,Tier3,1,44,44,0,0,0,0,0,0,0,0,1,rough pasture,NA,33,0.2,0.484,0.36,19.89,120.1,5.87,0,0,0.01,0,0,0.6,0,0,0,0
78,84,2,2009,2,Walton Moor,Tier3,2,59,59,0,0,0,0,0,0,0,0,1,rough pasture,NA,38,0.2,0.466,0.35,NA,96.9,6.97,0,0,0.01,0,0,0.5,0,0,0,0
79,84,2,2009,2,Walton Moor,Tier3,3,34,34,0,0,0,0,0,0,0,0,1,rough pasture,NA,48,0.2,0.493,0.37,21.5,110,7.15,0,0,0.05,0,0,0.6,0,0,0,0
80,84,2,2009,2,Walton Moor,Tier3,4,58,58,0,0,0,0,0,0,0,0,1,rough pasture,NA,45,0.2,NA,NA,NA,NA,NA,0,0,0.05,0,0,0.25,0,0,0,0
81,84,2,2009,2,Walton Moor,Tier3,5,15,15,0,0,0,0,0,0,0,0,1,rough pasture,NA,43,0.2,0.497,0.37,23.69,97.5,7.1,0,0,0.4,0,0,0.6,0,0,0,0
82,84,2,2009,2,Walton Moor,Tier3,6,14,13,1,0,0,0,0,0,0,0,1,rough pasture,NA,32,0.2,NA,NA,NA,NA,NA,0,0,0.4,0,0,0.4,0,0,0,0
83,84,3,2009,2,Walton Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,25,0.3,0.805,0.62,22.85,102.2,6.06,0,0,0.8,0,0,0,0,0,0,0
84,84,3,2009,2,Walton Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,25,0.3,NA,NA,NA,NA,NA,0,0,0.8,0,0,0,0,0,0,0
85,84,3,2009,2,Walton Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,20,0.3,0.87,0.67,22.03,106.9,6.4,0,0,1,0,0,0,0,0,0,0
86,84,3,2009,2,Walton Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,20,0.3,NA,NA,NA,NA,NA,0,0,0.85,0,0,0,0,0,0,0
87,84,3,2009,2,Walton Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,25,0.3,0.851,0.65,23.78,97,6.8,0,0,1,0,0,0,0,0,0,0
88,84,3,2009,2,Walton Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,5,rough pasture,1.5,12,0.3,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
89,84,4,2009,2,Walton Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,45,0.2,0.768,0.59,25.29,89.5,7.64,0,0,0.35,0,0,0.35,0,0,0,0
90,84,4,2009,2,Walton Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,50,0.2,NA,NA,NA,NA,NA,0,0,0.4,0,0,0.45,0,0,0,0
91,84,4,2009,2,Walton Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,60,0.2,0.787,0.6,22.56,103.6,6.55,0,0,0.2,0,0,0.5,0,0,0,0
92,84,4,2009,2,Walton Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,65,0.2,NA,NA,NA,NA,NA,0,0,0.05,0,0,0.25,0,0,0,0
93,84,4,2009,2,Walton Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,60,0.2,0.785,0.6,25.77,87.3,7.64,0,0,0,0,0,0.3,0,0,0,0
94,84,4,2009,2,Walton Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,1,pasture,2.3,55,0.2,NA,NA,NA,NA,NA,0,0,0.02,0,0,0.48,0,0,0,0
95,85,1,2009,2,Aller Moor,Tier1,1,0,0,0,0,0,0,0,0,0,0,3,pasture,1.75,70,0.4,0.438,0.33,19.97,119.3,7.56,0,0,0.9,0,0,0,0,0,0,0
96,85,1,2009,2,Aller Moor,Tier1,2,0,0,0,0,0,0,0,0,0,0,1,pasture,1.75,70,0.2,NA,NA,21,NA,6.5,0,0,1,0,0,0,0,0,0,0
97,85,1,2009,2,Aller Moor,Tier1,3,0,0,0,0,0,0,0,0,0,0,1,pasture,1.75,70,0.2,0.435,0.33,19.48,122.8,7.57,0.025555555,0,0.95,0,0,0,0,0,0,0
98,85,1,2009,2,Aller Moor,Tier1,4,0,0,0,0,0,0,0,0,0,0,1,pasture,1.75,60,0.2,NA,NA,21,NA,6.5,0,0,0.9,0,0,0,0,0,0,0
99,85,1,2009,2,Aller Moor,Tier1,5,0,0,0,0,0,0,0,0,0,0,2,pasture,1.75,70,0.8,0.432,0.32,19.24,124.5,7.3,0.2,0,0.6,0,0,0,0,0,0,0
100,85,1,2009,2,Aller Moor,Tier1,6,0,0,0,0,0,0,0,0,0,0,2,pasture,1.75,70,0.7,NA,NA,21,NA,6,0.3,0,0.6,0,0,0,0,0,0,0
101,85,2,2009,2,Aller Moor,Tier1,1,0,0,0,0,0,0,0,0,0,1,2,pasture,2.8,NA,0.8,0.41,0.31,21,127.9,7.43,0,0,1,0,0,0,0,0,0,0
102,85,2,2009,2,Aller Moor,Tier1,2,0,0,0,0,0,0,0,0,0,1,2,pasture,2.8,NA,0.8,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
103,85,2,2009,2,Aller Moor,Tier1,3,0,0,0,0,0,0,0,0,0,1,2,pasture,2.8,NA,0.7,0.415,0.31,21,127.9,5.57,0,0,1,0,0,0,0,0,0,0
104,85,2,2009,2,Aller Moor,Tier1,4,0,0,0,0,0,0,0,0,0,1,2,pasture,2.8,NA,0.7,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
105,85,2,2009,2,Aller Moor,Tier1,5,0,0,0,0,0,0,0,0,0,1,1,pasture,2.8,NA,0.15,0.389,0.29,18.74,127.9,5.8,0,0,1,0,0,0,0,0,0,0
106,85,2,2009,2,Aller Moor,Tier1,6,0,0,0,0,0,0,0,0,0,1,1,pasture,2.8,NA,0.15,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
107,85,3,2009,2,Aller Moor,Tier1,1,0,0,0,0,0,0,0,0,0,1,1,pasture,2,70,0.2,0.704,0.54,17.96,133.7,7.4,0,0,0,0.1,0,0.05,0,0,0,0
108,85,3,2009,2,Aller Moor,Tier1,2,0,0,0,0,0,0,0,0,0,1,1,pasture,2,70,0.2,NA,NA,NA,NA,NA,0,0,0,0.01,0,0.02,0,0,0,0
109,85,3,2009,2,Aller Moor,Tier1,3,3,0,3,0,0,0,0,0,0,1,1,pasture,2,70,0.2,0.645,0.5,18.4,130,7.29,0,0,0,0.025555555,0,0.025555555,0,0,0,0
110,85,3,2009,2,Aller Moor,Tier1,4,0,0,0,0,0,0,0,0,0,1,1,pasture,2,70,0.2,NA,NA,NA,NA,NA,0,0,0,0.3,0,0.025555555,0,0,0,0
111,85,3,2009,2,Aller Moor,Tier1,5,0,0,0,0,0,0,0,0,0,1,1,pasture,2,70,0.2,0.715,0.55,17.67,136,7.24,0,0,0,0.8,0,0.1,0,0,0,0
112,85,3,2009,2,Aller Moor,Tier1,6,1,0,1,0,0,0,0,0,0,1,1,pasture,2,70,0.2,NA,NA,NA,NA,NA,0,0,0,0,0,0.05,0,0,0,0
113,85,4,2009,2,Aller Moor,Tier1,1,0,0,0,0,0,0,0,0,0,0,3,pasture,1.6,40,0.6,0.461,0.35,16.15,148.3,5.98,0,0,0,0.6,0,0,0,0,0,0.3
114,85,4,2009,2,Aller Moor,Tier1,2,0,0,0,0,0,0,0,0,0,0,3,pasture,1.6,40,0.6,NA,NA,NA,NA,NA,0,0,0,0.2,0,0,0,0.2,0,0.3
115,85,4,2009,2,Aller Moor,Tier1,3,0,0,0,0,0,0,0,0,0,0,4,pasture,1.6,40,0.6,0.449,0.34,17.15,140,6.48,0,0,0,0.1,0,0,0,0.05,0,0.5
116,85,4,2009,2,Aller Moor,Tier1,4,0,0,0,0,0,0,0,0,0,0,4,pasture,1.6,40,0.6,NA,NA,NA,NA,NA,0.05,0,0,0,0,0,0,0,0,0.4
117,85,4,2009,2,Aller Moor,Tier1,5,0,0,0,0,0,0,0,0,0,0,3,pasture,1.6,50,0.6,0.465,0.35,16.66,143.5,6.28,0,0,0,0.3,0,0,0,0,0,0.2
118,85,4,2009,2,Aller Moor,Tier1,6,0,0,0,0,0,0,0,0,0,0,3,pasture,1.6,50,0.6,NA,NA,NA,NA,NA,0,0,0,0.8,0,0,0,0,0,0
119,86,1,2009,2,Southlake Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,5,pasture,2,NA,0.8,0.363,0.27,19.09,125.4,6.5,0,0,0.8,0,0,0,0,0.025555555,0,0.1
120,86,1,2009,2,Southlake Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,5,pasture,2,NA,0.4,NA,NA,NA,NA,NA,0,0,0.8,0,0,0,0,0,0,0.2
121,86,1,2009,2,Southlake Moor,Tier3,3,0,0,0,0,0,0,0,0,0,0,5,pasture,2,NA,0.4,0.453,0.34,19.19,124.8,6.09,0.05,0,0.8,0,0,0,0,0,0,0.1
122,86,1,2009,2,Southlake Moor,Tier3,4,0,0,0,0,0,0,0,0,0,0,1,pasture,2,NA,0.15,NA,NA,NA,NA,NA,0.1,0,0.8,0,0,0,0,0,0,0.05
123,86,1,2009,2,Southlake Moor,Tier3,5,0,0,0,0,0,0,0,0,0,0,5,pasture,2,NA,0.6,0.479,0.36,19.25,124.4,6.07,0.05,0,0.8,0,0,0,0,0,0,0.1
124,86,1,2009,2,Southlake Moor,Tier3,6,0,0,0,0,0,0,0,0,0,0,5,pasture,2,NA,0.9,NA,NA,NA,NA,NA,0.05,0,0.75,0,0,0,0,0,0,0.15
125,86,2,2009,2,Southlake Moor,Tier3,1,0,0,0,0,0,0,0,0,0,0,4,pasture,1,NA,0.95,0.418,0.31,20.04,118.9,7,0,0,0,0,0,0,0,0.8,0,0.05
126,86,2,2009,2,Southlake Moor,Tier3,2,0,0,0,0,0,0,0,0,0,0,4,pasture,1,NA,0.95,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0.1
127,86,2,2009,2,Southlake Moor,Tier3,3,9,9,0,0,0,0,0,0,0,0,4,pasture,1,NA,0.95,0.205,0.15,18.48,129.9,6.57,0,0,0,0,0,0,0,0,0,0.3
128,86,2,2009,2,Southlake Moor,Tier3,4,3,1,0,0,2,0,0,0,0,0,4,pasture,1,NA,0.95,NA,NA,NA,NA,NA,0,0,0.1,0,0.05,0,0,0,0,0.3
129,86,2,2009,2,Southlake Moor,Tier3,5,1,1,0,0,0,0,0,0,0,0,4,pasture,1,NA,0.95,0.256,0.19,19.8,119.9,6.64,0.025555555,0,0.1,0,0.05,0,0,0,0,0.3
130,86,2,2009,2,Southlake Moor,Tier3,6,117,116,0,0,1,0,0,0,0,0,4,pasture,1,NA,0.95,NA,NA,NA,NA,NA,0,0,0.1,0,0.1,0,0,0,0.05,0.2
131,86,3,2009,2,Southlake Moor,Tier3,1,51,47,0,0,4,0,0,0,0,0,4,pasture,2.5,NA,0.5,0.735,0.56,17.16,139.9,6.31,0.4,0,0.05,0,0.05,0,0.1,0,0,0
132,86,3,2009,2,Southlake Moor,Tier3,2,33,16,0,1,16,0,0,0,0,0,4,pasture,2.5,NA,0.5,NA,NA,NA,NA,NA,0.6,0,0.05,0,0,0,0,0,0,0
133,86,3,2009,2,Southlake Moor,Tier3,3,5,2,0,0,3,0,0,0,0,0,4,pasture,2.5,NA,0.5,0.002,0,17.02,141,6.32,0.3,0,0,0,0.1,0,0.05,0,0,0
134,86,3,2009,2,Southlake Moor,Tier3,4,8,7,0,0,1,0,0,0,0,0,4,pasture,2.5,NA,0.5,NA,NA,NA,NA,NA,0.3,0,0,0.2,0.05,0.05,0.05,0,0,0
