total,cx_pipiens,an_maculipennis,an_claviger,cs_annulata,row,site,plot,location,dip_point,easting,northing,landcover,cleared,width,waterboard,exposure,management,shaded,edgedepth,centredepth,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,birch,alder,dog_rose,hawthorn,oak,willow,ladies_frock,wtemp,turbidity,salinity,do,ph,year,season,total_cover,cover_emergent,cover_surface,cover_vertical,mean_height,height_emergent,height_surface,height_vertical
0,0,0,0,0,12,81,3,Godney,2,348756.5,142091,rough pasture,0,2,1,4,1,0.95,15,20,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
0,0,0,0,0,13,81,3,Godney,3,348756.5,142091,rough pasture,0,2,1,4,1,0.75,20,30,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20,0.641,0.49,98.2,6.94,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
0,0,0,0,0,14,81,3,Godney,4,348756.5,142091,rough pasture,0,2,1,4,1,0.75,20,20,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
0,0,0,0,0,15,81,3,Godney,5,348756.5,142091,rough pasture,0,2,1,5,1,0.85,10,20,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,18.55,0.751,0.58,129.4,6.04,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
0,0,0,0,0,16,81,3,Godney,6,348756.5,142091,rough pasture,0,2,1,5,1,0.9,10,10,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.8,0,0.4666666666666667,0.3333333333333333,92,0,0.4666666666666667,0.3333333333333333
0,0,0,0,0,17,81,4,Godney,1,348787,142297.5,pasture,0,1.5,1,2,1,0.8,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
0,0,0,0,0,18,81,4,Godney,2,348787,142297.5,pasture,0,1.5,1,4,1,0.8,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
0,0,0,0,0,19,81,4,Godney,3,348787,142297.5,pasture,0,1.5,1,4,1,0.8,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
0,0,0,0,0,20,81,4,Godney,4,348787,142297.5,pasture,0,1.5,1,4,1,0.8,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
0,0,0,0,0,21,81,4,Godney,5,348787,142297.5,pasture,0,1.5,1,4,1,0.8,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
0,0,0,0,0,22,81,4,Godney,6,348787,142297.5,pasture,0,1.5,1,4,1,0.8,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,2009,2,0.8588888888888889,0,0.48944444444444446,0.36944444444444446,137.66666666666666,0,0.48944444444444446,0.36944444444444446
2,0,2,0,0,23,82,1,South Moor,1,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,15,55,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.45,0.544,0.41,115.87,7.07,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
0,0,0,0,0,24,82,1,South Moor,2,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,15,47,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
0,0,0,0,0,25,82,1,South Moor,3,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,10,50,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.77,0.542,0.41,114.4,7.23,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
1,0,1,0,0,26,82,1,South Moor,4,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,17,55,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
1,0,1,0,0,27,82,1,South Moor,5,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,20,50,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0.543,0.41,112.7,7.33,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
1,0,1,0,0,28,82,1,South Moor,6,349229,137267.5,pasture,1,2.1,0.7,1,1,0.15,15,50,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.3633333333333333,0,0.2633333333333333,0.1,60,0,0.2633333333333333,0.1
0,0,0,0,0,29,82,2,South Moor,1,349346,137594.5,pasture,1,2.3,1,5,1,0.4,25,60,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0.447,0.33,102.3,7.65,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,30,82,2,South Moor,2,349346,137594.5,pasture,1,2.3,1,5,1,0.4,30,55,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,31,82,2,South Moor,3,349346,137594.5,pasture,1,2.3,1,5,1,0.4,20,50,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.74,0.45,0.34,102.6,7.63,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,32,82,2,South Moor,4,349346,137594.5,pasture,1,2.3,1,5,1,0.4,20,58,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,33,82,2,South Moor,5,349346,137594.5,pasture,1,2.3,1,5,1,0.4,30,60,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.62,0.441,0.33,98,8.13,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,34,82,2,South Moor,6,349346,137594.5,pasture,1,2.3,1,5,1,0.4,28,60,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.34586419749999997,0,0.28888888888888886,0.056975308611111115,80,0,0.28888888888888886,0.056975308611111115
0,0,0,0,0,35,82,3,South Moor,1,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,10,25,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22.41,0.545,0.41,104.5,7.17,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
0,0,0,0,0,36,82,3,South Moor,2,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,10,35,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
0,0,0,0,0,37,82,3,South Moor,3,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,10,35,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22.38,0.524,0.39,104.7,7.43,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
0,0,0,0,0,38,82,3,South Moor,4,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,20,38,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
0,0,0,0,0,39,82,3,South Moor,5,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,25,40,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22.33,0.506,0.38,105,7.37,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
0,0,0,0,0,40,82,3,South Moor,6,349655,137639.5,pasture,0,1.7,1.4,1,1,0.2,15,38,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.9833333333333334,0,0.8333333333333334,0.15,100,0,0.8333333333333334,0.15
13,0,0,2,11,41,82,4,South Moor,1,349461.5,137399.5,pasture,0,1,0.7,2,1,0.4,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.69,0.53,142,6.29,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
22,0,0,2,20,42,82,4,South Moor,2,349461.5,137399.5,pasture,0,1,0.7,2,1,0.4,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.678,0.53,141.9,6.13,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
23,7,0,3,13,43,82,4,South Moor,3,349461.5,137399.5,pasture,0,1,0.7,2,1,0.4,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.658,0.5,130.3,6.3,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
NA,NA,NA,NA,NA,44,82,4,South Moor,4,349461.5,137399.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
NA,NA,NA,NA,NA,45,82,4,South Moor,5,349461.5,137399.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
NA,NA,NA,NA,NA,46,82,4,South Moor,6,349461.5,137399.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2,0.9,0,0,0.9,166.66666666666666,0,0,0.9
0,0,0,0,0,47,83,1,Common Moor,1,350028,140790,pasture,0,3,0.55,1,1,0.8,25,50,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,17.57,0.508,0.38,136.8,6.5,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
0,0,0,0,0,48,83,1,Common Moor,2,350028,140790,pasture,0,3,0.55,1,1,0.8,NA,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
0,0,0,0,0,49,83,1,Common Moor,3,350028,140790,pasture,0,3,0.55,5,1,0.6,20,60,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,19.3,0.313,0.23,124.1,6.6,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
0,0,0,0,0,50,83,1,Common Moor,4,350028,140790,pasture,0,3,0.55,1,1,0.3,NA,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
22,21,0,0,1,51,83,1,Common Moor,5,350028,140790,pasture,0,3,0.55,5,1,0.6,NA,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,17.23,0.486,0.37,139.4,6.4,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
14,13,0,0,1,52,83,1,Common Moor,6,350028,140790,pasture,0,3,0.55,5,1,0.6,NA,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,2009,2,0.6841666666666668,0,0.4044444444444445,0.27972222222222226,103.55555555555556,0,0.4044444444444445,0.27972222222222226
0,0,0,0,0,53,83,2,Common Moor,1,350019,140643,pasture,0,1.95,0.7,2,1,0.9,10,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.475,0.36,137.5,6.17,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
0,0,0,0,0,54,83,2,Common Moor,2,350019,140643,pasture,0,1.95,0.7,2,1,0.9,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
0,0,0,0,0,55,83,2,Common Moor,3,350019,140643,pasture,0,1.95,0.7,1,1,0.05,30,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.46,0.35,135.1,6.15,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
0,0,0,0,0,56,83,2,Common Moor,4,350019,140643,pasture,0,1.95,0.7,1,1,0.05,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
0,0,0,0,0,57,83,2,Common Moor,5,350019,140643,pasture,0,1.95,0.7,1,1,0.05,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.394,0.29,126.2,6.84,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
0,0,0,0,0,58,83,2,Common Moor,6,350019,140643,pasture,0,1.95,0.7,1,1,0.05,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.963888888888889,0,0.9544444444444445,0.009444444444444445,115,0,0.9544444444444445,0.009444444444444445
1,1,0,0,0,59,83,3,Common Moor,1,349822,140845,rough pasture,1,2,0.7,1,1,0.05,15,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0.378,0.28,123,6.75,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
1,1,0,0,0,60,83,3,Common Moor,2,349822,140845,rough pasture,1,2,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
0,0,0,0,0,61,83,3,Common Moor,3,349822,140845,rough pasture,1,2,0.7,1,1,0.05,10,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0.389,0.29,124.4,7.1,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
3,1,0,0,2,62,83,3,Common Moor,4,349822,140845,rough pasture,1,2,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
10,7,0,0,3,63,83,3,Common Moor,5,349822,140845,rough pasture,1,2,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.03,0.378,0.28,119,7.07,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
3,1,0,0,2,64,83,3,Common Moor,6,349822,140845,rough pasture,1,2,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.972438271388889,0,0.876388888888889,0.0960493825,76.41666666666667,0,0.876388888888889,0.0960493825
9,7,0,0,1,65,83,4,Common Moor,1,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,10,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.16,0.449,0.34,125.1,7.09,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
5,3,2,0,0,66,83,4,Common Moor,2,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
2,2,0,0,0,67,83,4,Common Moor,3,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,10,40,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.07,0.506,0.38,125.6,7.09,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
1,1,0,0,0,68,83,4,Common Moor,4,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
1,1,0,0,0,69,83,4,Common Moor,5,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18.52,0.507,0.38,129.5,7.17,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
1,1,0,0,0,70,83,4,Common Moor,6,349693,140771,rough pasture,1,2.9,0.7,1,1,0.05,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,2009,2,0.17790123444444444,0,0.12790123444444446,0.05,39.583333333333336,0,0.12790123444444446,0.05
0,0,0,0,0,71,84,1,Walton Moor,1,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,5,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0.447,0.34,131.2,5.77,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
0,0,0,0,0,72,84,1,Walton Moor,2,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,25,55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
0,0,0,0,0,73,84,1,Walton Moor,3,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,30,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0.449,0.34,129.4,6.02,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
0,0,0,0,0,74,84,1,Walton Moor,4,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,15,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
0,0,0,0,0,75,84,1,Walton Moor,5,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,30,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
0,0,0,0,0,76,84,1,Walton Moor,6,345824,134362,rough pasture,1,2.4,0.7,1,3,0.3,15,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0.402,0.3,113.9,6.72,2009,2,0.5738888888888889,0,0.5738888888888889,0,NaN,0,0.5738888888888889,0
44,44,0,0,0,77,84,2,Walton Moor,1,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,18,33,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,19.89,0.484,0.36,120.1,5.87,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
59,59,0,0,0,78,84,2,Walton Moor,2,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,14,38,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,23.91,0.466,0.35,96.9,6.97,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
34,34,0,0,0,79,84,2,Walton Moor,3,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,27,48,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,21.5,0.493,0.37,110,7.15,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
58,58,0,0,0,80,84,2,Walton Moor,4,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,15,45,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
15,15,0,0,0,81,84,2,Walton Moor,5,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,15,43,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,23.69,0.497,0.37,97.5,7.1,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
14,13,1,0,0,82,84,2,Walton Moor,6,345928,134308,rough pasture,0,1.1,NA,1,3,0.2,10,32,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.6894444444444444,0,0.6338888888888888,0.05555555555555556,1,0,0.6338888888888888,0.05555555555555556
0,0,0,0,0,83,84,3,Walton Moor,1,345960.5,134480.5,rough pasture,0,1.5,NA,5,3,0.3,15,25,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,22.85,0.805,0.62,102.2,6.06,2009,2,0.95,0,0.9083333333333333,0.041666666666666664,83.33333333333334,0,0.9083333333333333,0.041666666666666664
0,0,0,0,0,84,84,3,Walton Moor,2,345960.5,134480.5,rough pasture,0,1.5,NA,5,3,0.3,10,25,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2009,2,0.95,0,0.9083333333333333,0.041666666666666664,83.33333333333334,0,0.9083333333333333,0.041666666666666664
