interlink_larva_dippin_with_metadata,cross_ref,site,plot,plot_id,year,season,location,dip_point,management,rhyne_dry,totals_n_larvae,totals_not_ided,totals_n_an_maculipennis,totals_n_an_claviger,totals_n_cx_pipiens,totals_n_cs_annulata,totals_n_cs_morsitans,totals_n_oc_annulipes_cantans,totals_n_oc_caspius,landcover,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,dandelion,birch,alder,dog_rose,hawthorn,oak,sallow,willow,ladies_frock,cows_visible,sheep_visible,other_life_stock_visible,rhyne_cleared,dry_ever_in_that_year,dry_ever_all_years,average_width_m,waterboard_water_level_below_land_m,water_temperature_c,turbidity,salinity,dissolved_oxygen,p_h_probe,av_depth_proximal_edge_cm,av_depth_centre_cm,exposure,percentage_water_shaded,central_cover_carex_percent,central_cover_celery_leaved_buttercup_percent,central_cover_duckweed_percent,central_cover_frog_bit_percent,central_cover_grass_percent,central_cover_ivy_leaved_duckweed_percent,central_cover_juncus_percent,central_cover_marsh_bedstraw_percent,central_cover_typha_percent,central_cover_water_parsnip_percent
67801,678,82,1,8201,2009,2,South Moor,1,1,0,2,0,2,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,20.45,0.544,0.41,115.87,7.07,15,55,1,15,0,0,2,0,0,0,0,0,0,0
67802,678,82,1,8201,2009,2,South Moor,2,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,NA,NA,NA,NA,NA,15,47,1,15,0,0,2,0,0,0,0,0,0,0
67803,678,82,1,8201,2009,2,South Moor,3,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,20.77,0.542,0.41,114.4,7.23,10,50,1,15,0,0,5,0,0,0,0,0,0,0
67804,678,82,1,8201,2009,2,South Moor,4,1,0,1,0,1,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,NA,NA,NA,NA,NA,17,55,1,15,0,0,2,0,0,0,0,0,0,0
67805,678,82,1,8201,2009,2,South Moor,5,1,0,1,0,1,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,21,0.543,0.41,112.7,7.33,20,50,1,15,0,0,2,0,0,0,0,0,0,0
67806,678,82,1,8201,2009,2,South Moor,6,1,0,1,0,1,0,0,0,0,0,0,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1,0.7,NA,NA,NA,NA,NA,15,50,1,15,0,0,1,0,0,0,0,0,0,0
67901,679,82,2,8202,2009,2,South Moor,1,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,22.8,0.447,0.33,102.3,7.65,25,60,5,40,0,0,7.5,0,0,0,0,0,0,0
67902,679,82,2,8202,2009,2,South Moor,2,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,NA,NA,NA,NA,NA,30,55,5,40,0,0,7.5,0,0,0,0,0,0,0
67903,679,82,2,8202,2009,2,South Moor,3,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,22.74,0.45,0.34,102.6,7.63,20,50,5,40,0,0,7.5,0,0,25,0,0,0,0
67904,679,82,2,8202,2009,2,South Moor,4,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,NA,NA,NA,NA,NA,20,58,5,40,0,0,7.5,0,0,10,0,0,0,0
67905,679,82,2,8202,2009,2,South Moor,5,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,23.62,0.441,0.33,98,8.13,30,60,5,40,0,0,7.5,0,0,0,0,0,0,0
67906,679,82,2,8202,2009,2,South Moor,6,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,1,NA,NA,NA,NA,NA,28,60,5,40,0,0,7.5,0,0,0,0,0,0,0
68001,680,82,3,8203,2009,2,South Moor,1,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,22.41,0.545,0.41,104.5,7.17,10,25,1,20,0,0,95,0,0,0,0,0,0,0
68002,680,82,3,8203,2009,2,South Moor,2,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,NA,NA,NA,NA,NA,10,35,1,20,0,0,95,0,0,0,0,0,0,0
68003,680,82,3,8203,2009,2,South Moor,3,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,22.38,0.524,0.39,104.7,7.43,10,35,1,20,0,0,95,0,0,0,0,0,0,0
68004,680,82,3,8203,2009,2,South Moor,4,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,NA,NA,NA,NA,NA,20,38,1,20,0,0,95,0,0,0,0,0,0,0
68005,680,82,3,8203,2009,2,South Moor,5,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,22.33,0.506,0.38,105,7.37,25,40,1,20,0,0,95,0,0,0,0,0,0,0
68006,680,82,3,8203,2009,2,South Moor,6,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,1.4,NA,NA,NA,NA,NA,15,38,1,20,0,0,95,0,0,0,0,0,0,0
68101,681,82,4,8204,2009,2,South Moor,1,1,0,13,0,0,2,0,11,0,0,0,pasture,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7,20,0.69,0.53,142,6.29,10,10,2,40,90,0,0,0,0,0,0,0,0,0
68102,681,82,4,8204,2009,2,South Moor,2,1,0,22,0,0,2,0,20,0,0,0,pasture,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7,24,0.678,0.53,141.9,6.13,10,10,2,40,90,0,0,0,0,0,0,0,0,0
68103,681,82,4,8204,2009,2,South Moor,3,1,0,23,0,0,3,7,13,0,0,0,pasture,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7,25,0.658,0.5,130.3,6.3,10,10,2,40,90,0,0,0,0,0,0,0,0,0
68104,681,82,4,8204,2009,2,South Moor,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68105,681,82,4,8204,2009,2,South Moor,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68106,681,82,4,8204,2009,2,South Moor,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68201,682,83,1,8301,2009,2,Common Moor,1,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,17.57,0.508,0.38,136.8,6.5,25,50,1,80,0,0,100,0,0,0,0,0,0,0
68202,682,83,1,8301,2009,2,Common Moor,2,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,NA,NA,NA,NA,NA,NA,NA,1,80,0,0,0,0,0,0,0,0,0,0
68203,682,83,1,8301,2009,2,Common Moor,3,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,19.3,0.313,0.23,124.1,6.6,20,60,5,60,0,0,40,0,0,0,0,0,0,0
68204,682,83,1,8301,2009,2,Common Moor,4,1,0,0,0,0,0,0,0,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,NA,NA,NA,NA,NA,NA,NA,1,30,0,0,100,0,0,0,0,0,0,0
68205,682,83,1,8301,2009,2,Common Moor,5,1,0,22,0,0,0,21,1,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,17.23,0.486,0.37,139.4,6.4,NA,NA,5,60,0,0,50,0,0,0,0,0,0,0
68206,682,83,1,8301,2009,2,Common Moor,6,1,0,14,0,0,0,13,1,0,0,0,pasture,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,3,0.55,NA,NA,NA,NA,NA,NA,NA,5,60,0,0,0,0,0,0,0,0,0,0
68301,683,83,2,8302,2009,2,Common Moor,1,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,22,0.475,0.36,137.5,6.17,10,40,2,90,0,0,100,0,0,0,0,0,0,0
68302,683,83,2,8302,2009,2,Common Moor,2,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,NA,NA,NA,NA,NA,NA,NA,2,90,2,0,98,0,0,0,0,0,0,0
68303,683,83,2,8302,2009,2,Common Moor,3,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,24,0.46,0.35,135.1,6.15,30,50,1,5,0,0,100,0,0,0,0,0,0,0
68304,683,83,2,8302,2009,2,Common Moor,4,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,100,0,0,0,0,0,0,0
68305,683,83,2,8302,2009,2,Common Moor,5,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,26,0.394,0.29,126.2,6.84,NA,NA,1,5,0,0,100,0,0,0,0,0,0,0
68306,683,83,2,8302,2009,2,Common Moor,6,1,0,0,0,0,0,0,0,0,0,0,pasture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.95,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,100,0,0,0,0,0,0,0
68401,684,83,3,8303,2009,2,Common Moor,1,1,0,1,0,0,0,1,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,19.43,0.378,0.28,123,6.75,15,50,1,5,0,0,100,0,0,0,0,0,0,0
68402,684,83,3,8303,2009,2,Common Moor,2,1,0,1,0,0,0,1,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,95,0,0,0,0,0,0,0
68403,684,83,3,8303,2009,2,Common Moor,3,1,0,0,0,0,0,0,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,19.3,0.389,0.29,124.4,7.1,10,50,1,5,0,0,52.5,0,0,0,0,0,0,0
68404,684,83,3,8303,2009,2,Common Moor,4,1,0,3,0,0,0,1,2,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,95,0,0,0,0,0,0,0
68405,684,83,3,8303,2009,2,Common Moor,5,1,0,10,0,0,0,7,3,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,20.03,0.378,0.28,119,7.07,NA,NA,1,5,0,0,100,0,0,0,0,0,0,0
68406,684,83,3,8303,2009,2,Common Moor,6,1,0,3,0,0,0,1,2,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,100,0,0,0,0,0,0,0
68501,685,83,4,8304,2009,2,Common Moor,1,1,0,9,1,0,0,7,1,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,19.16,0.449,0.34,125.1,7.09,10,40,1,5,0,0,2.5555555,0,0,0,0,0,0,0
68502,685,83,4,8304,2009,2,Common Moor,2,1,0,5,0,2,0,3,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,2.5555555,0,0,0,0,0,0,0
68503,685,83,4,8304,2009,2,Common Moor,3,1,0,2,0,0,0,2,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,19.07,0.506,0.38,125.6,7.09,10,40,1,5,0,0,0,0,0,0,0,0,0,0
68504,685,83,4,8304,2009,2,Common Moor,4,1,0,1,0,0,0,1,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,0,0,0,0,0,0
68505,685,83,4,8304,2009,2,Common Moor,5,1,0,1,0,0,0,1,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,18.52,0.507,0.38,129.5,7.17,NA,NA,1,5,0,0,20,0,0,0,0,0,0,0
68506,685,83,4,8304,2009,2,Common Moor,6,1,0,1,0,0,0,1,0,0,0,0,rough pasture,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2.9,0.7,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,0,0,0,0,0,0
68601,686,84,1,8401,2009,2,Walton Moor,1,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,18,0.447,0.34,131.2,5.77,5,50,1,30,0,0,32,0,0,24,0,0,0,0
68602,686,84,1,8401,2009,2,Walton Moor,2,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,NA,NA,NA,NA,NA,25,55,1,30,0,0,32,0,0,24,0,0,0,0
68603,686,84,1,8401,2009,2,Walton Moor,3,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,18.45,0.449,0.34,129.4,6.02,30,50,1,30,0,0,32,0,0,24,0,0,0,0
68604,686,84,1,8401,2009,2,Walton Moor,4,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,NA,NA,NA,NA,NA,15,45,1,30,0,0,32,0,0,24,0,0,0,0
68605,686,84,1,8401,2009,2,Walton Moor,5,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,NA,NA,NA,NA,NA,30,75,1,30,0,0,32,0,0,24,0,0,0,0
68606,686,84,1,8401,2009,2,Walton Moor,6,3,0,0,0,0,0,0,0,0,0,0,rough pasture,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4,0.7,20.95,0.402,0.3,113.9,6.72,15,45,1,30,0,0,32,0,0,31,0,0,0,0
68701,687,84,2,8402,2009,2,Walton Moor,1,3,0,44,0,0,0,44,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,19.89,0.484,0.36,120.1,5.87,18,33,1,20,0,0,1,0,0,60,0,0,0,0
68702,687,84,2,8402,2009,2,Walton Moor,2,3,0,59,0,0,0,59,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,232.91,0.466,0.35,96.9,6.97,14,38,1,20,0,0,1,0,0,50,0,0,0,0
68703,687,84,2,8402,2009,2,Walton Moor,3,3,0,34,0,0,0,34,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,21.5,0.493,0.37,110,7.15,27,48,1,20,0,0,5,0,0,60,0,0,0,0
68704,687,84,2,8402,2009,2,Walton Moor,4,3,0,58,0,0,0,58,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,NA,NA,NA,NA,NA,15,45,1,20,0,0,5,0,0,25,0,0,0,0
68705,687,84,2,8402,2009,2,Walton Moor,5,3,0,15,0,0,0,15,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,23.69,0.497,0.37,97.5,7.1,15,43,1,20,0,0,40,0,0,60,0,0,0,0
68706,687,84,2,8402,2009,2,Walton Moor,6,3,0,14,0,1,0,13,0,0,0,0,rough pasture,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1-1.7 undulating,NA,NA,NA,NA,NA,NA,10,32,1,20,0,0,40,0,0,40,0,0,0,0
