interlink_larva_dippin_with_metadata,sort,cross_ref.x,site.x,plot.x,plot_id.x,year.x,season.x,location.x,dip_point.x,water_tier_management.x,date,no_of_dips,rhyne_dry.x,totals_n_larvae,totals_not_ided,totals_n_an_maculipennis,totals_n_an_claviger,totals_n_cx_pipiens,totals_n_cs_annulata,totals_n_cs_morsitans,totals_n_oc_annulipes_cantans,totals_n_oc_caspius,a_round_dip_location,a_round_nlarvae,a_round_not_ided,a_round_an_maculipennis,a_round_an_claviger,a_round_cx_pipiens,a_round_cs_annulata,a_round_cs_morsitans,a_round_oc_annulipes_cantans,a_round_oc_caspius,b_round_dip_location,b_round_nlarvae,b_round_not_ided,b_round_an_maculipennis,b_round_an_claviger,b_round_cx_pipiens,b_round_cs_annulata,b_round_cs_morsitans,b_round_oc_annulipes_cantans,b_round_oc_caspius,c_round_dip_location,c_round_nlarvae,c_round_not_ided,c_round_an_maculipennis,c_round_an_claviger,c_round_cx_pipiens,c_round_cs_annulata,c_round_cs_morsitans,c_round_oc_annulipes_cantans,c_round_oc_caspius,data_entered_by_comment,who_assessed_vegetation,new_averaged_gps_readings_st,new_averaged_gps_readings_eastings,new_averaged_gps_readings_northings,eastings_recordings_from_field_data_sheet,northings_recordings_from_field_data_sheet,water_tier_management.y,sample_date,sampling_time,operator,landcover_rough_pasture_rough_pasture_reed_bed_wet_woodland,buttercup,grass,clover,carex,juncus,marsh_marigold,meadow_sweet,nettles,thistle,water_mint,dandelion,birch,alder,dog_rose,hawthorn,oak,sallow,willow,ladies_frock,cows_visible,sheep_visible,other_life_stock_visible,rhyne_cleared,dry_ever_in_that_year,dry_ever_all_years,average_width_m,approx_length_m,approx_size_m2,waterboard_water_level_below_land_m,water_temperature_c,turbidity,salinity,dissolved_oxygen,p_h_probe,av_depth_proximal_edge_cm,av_depth_centre_cm,exposure_1_sun_3_shade_2_partial_shade_4_open_but_emergent_vegetation_within_rhyne_5_open_but_shaded_by_very_high_bank_or_dense_overhanging_bank_vegetation,percentage_water_shaded
67601,1653,676,81,3,8103,2009,2,Godney,1,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48746,42089,48746,42089,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,20.15,0.759,0.58,118.3,6.6,20,20,4,80
67602,1654,676,81,3,8103,2009,2,Godney,2,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48750,42091,48750,42091,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,NA,NA,NA,NA,NA,15,20,4,95
67603,1655,676,81,3,8103,2009,2,Godney,3,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48755,42091,48755,42091,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,20,0.641,0.49,98.2,6.94,20,30,4,75
67604,1656,676,81,3,8103,2009,2,Godney,4,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48758,42091,48758,42091,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,NA,NA,NA,NA,NA,20,20,4,75
67605,1657,676,81,3,8103,2009,2,Godney,5,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48761,42096,48761,42096,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,18.55,0.751,0.58,129.4,6.04,10,20,5,85
67606,1658,676,81,3,8103,2009,2,Godney,6,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48771,42099,48771,42099,1,39993,0.8125,BP SS,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,120,nr,1,NA,NA,NA,NA,NA,10,10,5,90
67701,1659,677,81,4,8104,2009,2,Godney,1,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48786,42307,48786,42307,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,NA,NA,NA,NA,NA,4,7,2,80
67702,1660,677,81,4,8104,2009,2,Godney,2,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48786,42301,48786,42301,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,NA,NA,NA,NA,NA,4,7,4,80
67703,1661,677,81,4,8104,2009,2,Godney,3,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48789,42300,48789,42300,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,NA,NA,NA,NA,NA,4,7,4,80
67704,1662,677,81,4,8104,2009,2,Godney,4,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48786,42295,48786,42295,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,NA,NA,NA,NA,NA,4,7,4,80
67705,1663,677,81,4,8104,2009,2,Godney,5,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48790,42291,48790,42291,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,20,NA,NA,NA,NA,4,20,4,80
67706,1664,677,81,4,8104,2009,2,Godney,6,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,48788,42290,48788,42290,1,39993,0.847222222,BP SS,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,dry on visit 7 days later,1,1.5,140,nr,1,NA,NA,NA,NA,NA,4,20,4,80
67801,1665,678,82,1,8201,2009,2,South Moor,1,1,39994,3,0,2,0,2,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49225,37264,49226,37264,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,20.45,0.544,0.41,115.87,7.07,15,55,1,15
67802,1666,678,82,1,8201,2009,2,South Moor,2,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49228,37265,49228,37265,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,NA,NA,NA,NA,NA,15,47,1,15
67803,1667,678,82,1,8201,2009,2,South Moor,3,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49229,37267,49230,37267,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,20.77,0.542,0.41,114.4,7.23,10,50,1,15
67804,1668,678,82,1,8201,2009,2,South Moor,4,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49229,37270,49229,37270,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,NA,NA,NA,NA,NA,17,55,1,15
67805,1669,678,82,1,8201,2009,2,South Moor,5,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49229,37268,49229,37268,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,21,0.543,0.41,112.7,7.33,20,50,1,15
67806,1670,678,82,1,8201,2009,2,South Moor,6,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49229,37271,49229,37271,1,39994,0.4375,BP SS,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,2.1,380,nr,0.7,NA,NA,NA,NA,NA,15,50,1,15
67901,1671,679,82,2,8202,2009,2,South Moor,1,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49338,37595,49338,37596,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,22.8,0.447,0.33,102.3,7.65,25,60,5,40
67902,1672,679,82,2,8202,2009,2,South Moor,2,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49337,37597,49337,37597,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,NA,NA,NA,NA,NA,30,55,5,40
67903,1673,679,82,2,8202,2009,2,South Moor,3,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49345,37595,49345,37595,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,22.74,0.45,0.34,102.6,7.63,20,50,5,40
67904,1674,679,82,2,8202,2009,2,South Moor,4,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49347,37593,49347,37593,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,NA,NA,NA,NA,NA,20,58,5,40
67905,1675,679,82,2,8202,2009,2,South Moor,5,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49349,37592,49350,37593,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,23.62,0.441,0.33,98,8.13,30,60,5,40
67906,1676,679,82,2,8202,2009,2,South Moor,6,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49351,37594,49351,37594,1,39994,0.555555556,BP SS,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3,250,nr,1,NA,NA,NA,NA,NA,28,60,5,40
68001,1677,680,82,3,8203,2009,2,South Moor,1,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49656,37650,49658,37651,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,22.41,0.545,0.41,104.5,7.17,10,25,1,20
68002,1678,680,82,3,8203,2009,2,South Moor,2,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49657,37646,49658,37646,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,NA,NA,NA,NA,NA,10,35,1,20
68003,1679,680,82,3,8203,2009,2,South Moor,3,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49655,37642,49656,37639,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,22.38,0.524,0.39,104.7,7.43,10,35,1,20
68004,1680,680,82,3,8203,2009,2,South Moor,4,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49655,37637,49656,37633,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,NA,NA,NA,NA,NA,20,38,1,20
68005,1681,680,82,3,8203,2009,2,South Moor,5,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49655,37633,49656,37632,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,22.33,0.506,0.38,105,7.37,25,40,1,20
68006,1682,680,82,3,8203,2009,2,South Moor,6,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49653,37627,49654,37625,1,39994,0.604166667,BP SS,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7,150-200,nr,1.4,NA,NA,NA,NA,NA,15,38,1,20
68101,1683,681,82,4,8204,2009,2,South Moor,1,1,39994,3,0,13,0,0,2,0,11,0,0,0,D,5,0,0,1,0,4,0,0,0,P,2,0,0,1,0,1,0,0,0,C,6,0,0,0,0,6,0,0,0,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.",BP,ST,49458,37392,49457,37391,1,39994,0.6875,BP SS,pasture,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,175,nr,0.7,20,0.69,0.53,142,6.29,10,10,2,40
