Interlink_larva_dippin_with_metadata,Dip-specific_predator_data,Detailled_pics,Detailled_veg_data,Shade_assessed_in_situ?,Data_entered_by/comment,WHO_assessed_vegetation,Cross_Ref,Site,Plot,Plot_ID,Year,Season,Location,Dip_point,NEW_averaged_GPS_readings_ST,NEW_averaged_GPS_readings_Eastings,NEW_averaged_GPS_readings_Northings,Eastings_recordings_from_field_data_sheet,Northings_recordings_from_field_data_sheet,Water_tier_management,Sample_date,Sampling_time,Operator,"Weather (1=sunny, 2=sunny spells, 3=overcast, 4=rain)",Wind_speed,Wind_direction,Air_temperature_[°C],Minimum_air_t_[°C],Maximum_air_t_[°C],"Landcover - rough pasture, rough pasture, reed bed, wet woodland",Buttercup,Grass,Clover,Carex,Juncus,Marsh_marigold,Meadow_sweet,Nettles,Thistle,Water_mint,Dandelion,Birch,Alder,Dog_rose,Hawthorn,Oak,Sallow,Willow,Ladie's_frock,Cows_visible,Sheep_visible,Other_life_stock_visible,Rhyne_cleared,Rhyne_Dry,Dry_ever_(in_that_year),Dry_ever_(all_years),water_body,Average_width_[m],Approx._length_[m]__,Approx._size_[m2],Waterboard_(water_level_below_land)_[m],Distance_dip1_to_rhyne_end_[m],Rhyne_direction_[degrees],Flow_speed_[m/s],Water_temperature_[?C],Turbidity,Salinity,Dissolved_oxygen,pH_probe,pH_-_new_pH_probe,av.depth_proximal_edge_[cm],av.depth_centre_[cm],"av.depth_[cm,_three_measurements,_not_carried_out_beyond_2009]","Exposure_-_1=_sun,_3_=_shade,_2_=_partial_shade,_4_=_open_but_emergent_vegetation_within_rhyne,_5_=_open_but_shaded_by_very_high_bank_or_dense_overhanging_bank_vegetation",Percentage_water_shaded,Fish,Water_boatman,WBL_Water_beetle_larva,Water_beetle,Damselfly_larva,Dragonfly_larva,Phantom_midge,Backswimmer,Saucer_bug,Water_scorpion,Water_spider,Newt,Tadpole,Frog,Flatworm,Gammarus
67505,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,5,ST,48609,41997,48609,41997,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,19.23,0.498,0.38,124.5,5.9,NA,10,20,12,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67506,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,675,81,2,8102,2009,2,Godney,6,ST,48609,41995,48609,41995,1,39993,0.75,BP SS,1,2 to 3,SW,30,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,rhyne,1.1,100,nr,0.85,40,235,0,NA,NA,NA,NA,NA,NA,20,30,nr,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67601,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,1,ST,48746,42089,48746,42089,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,20.15,0.759,0.58,118.3,6.6,NA,20,20,13,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67602,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,2,ST,48750,42091,48750,42091,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,NA,NA,NA,NA,NA,NA,15,20,25,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67603,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,3,ST,48755,42091,48755,42091,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,20,0.641,0.49,98.2,6.94,NA,20,30,15,4,75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
67604,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,4,ST,48758,42091,48758,42091,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,NA,NA,NA,NA,NA,NA,20,20,35,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67605,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,5,ST,48761,42096,48761,42096,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,18.55,0.751,0.58,129.4,6.04,NA,10,20,10,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67606,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,676,81,3,8103,2009,2,Godney,6,ST,48771,42099,48771,42099,1,39993,0.8125,BP SS,1,2 to 3,SW,24,nr,nr,rough pasture,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,rhyne,2,120,nr,1,40,250,0,NA,NA,NA,NA,NA,NA,10,10,35,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67701,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,1,ST,48786,42307,48786,42307,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,NA,NA,NA,NA,NA,NA,4,7,7,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67702,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,2,ST,48786,42301,48786,42301,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,NA,NA,NA,NA,NA,NA,4,7,7,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67703,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,3,ST,48789,42300,48789,42300,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,NA,NA,NA,NA,NA,NA,4,7,7,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67704,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,4,ST,48786,42295,48786,42295,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,NA,NA,NA,NA,NA,NA,4,7,7,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67705,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,5,ST,48790,42291,48790,42291,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,20,NA,NA,NA,NA,NA,4,20,20,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67706,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,677,81,4,8104,2009,2,Godney,6,ST,48788,42290,48788,42290,1,39993,0.847222222,BP SS,1,1 to 2,SW,20,nr,nr,pasture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,dry on visit 7 days later,1,rhyne,1.5,140,nr,1,"4 m NW, 100 m SE",350,0,NA,NA,NA,NA,NA,NA,4,20,20,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67801,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,1,ST,49225,37264,49226,37264,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,20.45,0.544,0.41,115.87,7.07,NA,15,55,75,1,15,7,4,0,0,7,0,0,0,0,0,0,0,1,0,0,0
67802,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,2,ST,49228,37265,49228,37265,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,NA,NA,NA,NA,NA,NA,15,47,75,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67803,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,3,ST,49229,37267,49230,37267,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,20.77,0.542,0.41,114.4,7.23,NA,10,50,75,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67804,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,4,ST,49229,37270,49229,37270,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,NA,NA,NA,NA,NA,NA,17,55,75,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67805,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,5,ST,49229,37268,49229,37268,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,21,0.543,0.41,112.7,7.33,NA,20,50,75,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67806,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,678,82,1,8201,2009,2,South Moor,6,ST,49229,37271,49229,37271,1,39994,0.4375,BP SS,1,2 to 3,E,29,nr,nr,pasture,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1 (some time ago),0,0,0,rhyne,2.1,380,nr,0.7,25,20,0,NA,NA,NA,NA,NA,NA,15,50,75,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67901,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,1,ST,49338,37595,49338,37596,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,22.8,0.447,0.33,102.3,7.65,NA,25,60,50,5,40,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67902,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,2,ST,49337,37597,49337,37597,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,NA,NA,NA,NA,NA,NA,30,55,50,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67903,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,3,ST,49345,37595,49345,37595,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,22.74,0.45,0.34,102.6,7.63,NA,20,50,50,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67904,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,4,ST,49347,37593,49347,37593,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,NA,NA,NA,NA,NA,NA,20,58,50,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67905,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,5,ST,49349,37592,49350,37593,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,23.62,0.441,0.33,98,8.13,NA,30,60,50,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67906,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,679,82,2,8202,2009,2,South Moor,6,ST,49351,37594,49351,37594,1,39994,0.555555556,BP SS,1,3 to 4,SSE ,30,nr,nr,pasture,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,rhyne,2.3,250,nr,1,12.5,105,0,NA,NA,NA,NA,NA,NA,28,60,50,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68001,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,1,ST,49656,37650,49658,37651,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,22.41,0.545,0.41,104.5,7.17,NA,10,25,30,1,20,8,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
68002,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,2,ST,49657,37646,49658,37646,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,NA,NA,NA,NA,NA,NA,10,35,30,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68003,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,3,ST,49655,37642,49656,37639,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,22.38,0.524,0.39,104.7,7.43,NA,10,35,30,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68004,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,4,ST,49655,37637,49656,37633,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,NA,NA,NA,NA,NA,NA,20,38,30,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68005,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,5,ST,49655,37633,49656,37632,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,22.33,0.506,0.38,105,7.37,NA,25,40,30,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68006,no,no,adjusted ,no,"% cover values in some cases exceeded 100% and were not yet split into ""proximal"", ""central"", ""distal"". Steffi adjusted values.  ",BP,680,82,3,8203,2009,2,South Moor,6,ST,49653,37627,49654,37625,1,39994,0.604166667,BP SS,2,3 to 4,S,26,nr,nr,pasture,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rhyne,1.7,150-200,nr,1.4,37.5,10,0,NA,NA,NA,NA,NA,NA,15,38,30,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
