Interlink_larva_dippin_with_metadata,SORT,Dip-specific_predator_data,Detailled_pics,Detailled_veg_data,Shade_assessed_in_situ?,Data_entered_by/comment,WHO_assessed_vegetation,CrossRef,Site,plot,Plot_ID,Year,Season,Location,Dip_point,Eastings,Northings,Water_tier_management,Date,No_of_dips,Rhyne_dry,Totals_N_larvae,Totals_NOT_Ided,Totals_N_An_maculipennis,Totals_N_An_claviger,Totals_N_Cx_pipiens,Totals_N_Cs_annulata,Totals_N_Cs_morsitans,Totals_N_Oc_annulipes_cantans,Totals_N_Oc_caspius,A_round_dip_location,A_round_Nlarvae,A_round_NOT_Ided,A_round_An_maculipennis,A_round_An_claviger,A_round_Cx_pipiens,A_round_Cs_annulata,A_round_Cs_morsitans,A_round_Oc_annulipes_cantans,A_round_Oc_caspius,B_round_dip_location,B_round_Nlarvae,B_round_NOT_Ided,B_round_An_maculipennis,B_round_An_claviger,B_round_Cx_pipiens,B_round_Cs_annulata,B_round_Cs_morsitans,B_round_Oc_annulipes_cantans,B_round_Oc_caspius,C_round_dip_location,C_round_Nlarvae,C_round_NOT_Ided,C_round_An_maculipennis,C_round_An_claviger,C_round_Cx_pipiens,C_round_Cs_annulata,C_round_Cs_morsitans,C_round_Oc_annulipes_cantans,C_round_Oc_caspius
67505,1651,,,,,,,675,81,2,8102,2009,2,Godney,5,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67506,1652,,,,,,,675,81,2,8102,2009,2,Godney,6,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67601,1653,,,,,,,676,81,3,8103,2009,2,Godney,1,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67602,1654,,,,,,,676,81,3,8103,2009,2,Godney,2,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67603,1655,,,,,,,676,81,3,8103,2009,2,Godney,3,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67604,1656,,,,,,,676,81,3,8103,2009,2,Godney,4,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67605,1657,,,,,,,676,81,3,8103,2009,2,Godney,5,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
67606,1658,,,,,,,676,81,3,8103,2009,2,Godney,6,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67701,1659,,,,,,,677,81,4,8104,2009,2,Godney,1,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67702,1660,,,,,,,677,81,4,8104,2009,2,Godney,2,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67703,1661,,,,,,,677,81,4,8104,2009,2,Godney,3,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
67704,1662,,,,,,,677,81,4,8104,2009,2,Godney,4,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67705,1663,,,,,,,677,81,4,8104,2009,2,Godney,5,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67706,1664,,,,,,,677,81,4,8104,2009,2,Godney,6,,,1,39993,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
67801,1665,,,,,,,678,82,1,8201,2009,2,South Moor,1,,,1,39994,3,0,2,0,2,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0
67802,1666,,,,,,,678,82,1,8201,2009,2,South Moor,2,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67803,1667,,,,,,,678,82,1,8201,2009,2,South Moor,3,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67804,1668,,,,,,,678,82,1,8201,2009,2,South Moor,4,,,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67805,1669,,,,,,,678,82,1,8201,2009,2,South Moor,5,,,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0
67806,1670,,,,,,,678,82,1,8201,2009,2,South Moor,6,,,1,39994,3,0,1,0,1,0,0,0,0,0,0,P,1,0,1,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67901,1671,,,,,,,679,82,2,8202,2009,2,South Moor,1,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67902,1672,,,,,,,679,82,2,8202,2009,2,South Moor,2,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
67903,1673,,,,,,,679,82,2,8202,2009,2,South Moor,3,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67904,1674,,,,,,,679,82,2,8202,2009,2,South Moor,4,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67905,1675,,,,,,,679,82,2,8202,2009,2,South Moor,5,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
67906,1676,,,,,,,679,82,2,8202,2009,2,South Moor,6,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68001,1677,,,,,,,680,82,3,8203,2009,2,South Moor,1,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68002,1678,,,,,,,680,82,3,8203,2009,2,South Moor,2,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68003,1679,,,,,,,680,82,3,8203,2009,2,South Moor,3,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68004,1680,,,,,,,680,82,3,8203,2009,2,South Moor,4,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68005,1681,,,,,,,680,82,3,8203,2009,2,South Moor,5,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68006,1682,,,,,,,680,82,3,8203,2009,2,South Moor,6,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68101,1683,,,,,,,681,82,4,8204,2009,2,South Moor,1,,,1,39994,3,0,13,0,0,2,0,11,0,0,0,D,5,0,0,1,0,4,0,0,0,P,2,0,0,1,0,1,0,0,0,C,6,0,0,0,0,6,0,0,0
68102,1684,,,,,,,681,82,4,8204,2009,2,South Moor,2,,,1,39994,3,0,22,0,0,2,0,20,0,0,0,D,5,0,0,1,0,4,0,0,0,D,7,(..4 lost/decayed),0,0,0,7,0,0,0,D,10,(..15 decayed?),0,1,0,9,0,0,0
68103,1685,,,,,,,681,82,4,8204,2009,2,South Moor,3,,,1,39994,3,0,23,0,0,3,7,13,0,0,0,C,9,0,0,3,3,3,0,0,0,C,10,0,0,0,4,6,0,0,0,C,4,(2 decayed),0,0,0,4,0,0,0
68104,1686,,,,,,,681,82,4,8204,2009,2,South Moor,4,,,1,39994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68105,1687,,,,,,,681,82,4,8204,2009,2,South Moor,5,,,1,39994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68106,1688,,,,,,,681,82,4,8204,2009,2,South Moor,6,,,1,39994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68201,1689,,,,,,,682,83,1,8301,2009,2,Common Moor,1,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68202,1690,,,,,,,682,83,1,8301,2009,2,Common Moor,2,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68203,1691,,,,,,,682,83,1,8301,2009,2,Common Moor,3,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68204,1692,,,,,,,682,83,1,8301,2009,2,Common Moor,4,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68205,1693,,,,,,,682,83,1,8301,2009,2,Common Moor,5,,,1,39994,3,0,22,0,0,0,21,1,0,0,0,P,15,(?10),0,0,14,1,0,0,0,C,5,(~100?),0,0,5,0,0,0,0,P,2,(9?),0,0,2,0,0,0,0
68206,1694,,,,,,,682,83,1,8301,2009,2,Common Moor,6,,,1,39994,3,0,14,0,0,0,13,1,0,0,0,P,9,(17?),0,0,9,0,0,0,0,P,1,(20?),0,0,1,0,0,0,0,P,4,0,0,0,3,1,0,0,0
68301,1695,,,,,,,683,83,2,8302,2009,2,Common Moor,1,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68302,1696,,,,,,,683,83,2,8302,2009,2,Common Moor,2,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68303,1697,,,,,,,683,83,2,8302,2009,2,Common Moor,3,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68304,1698,,,,,,,683,83,2,8302,2009,2,Common Moor,4,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68305,1699,,,,,,,683,83,2,8302,2009,2,Common Moor,5,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68306,1700,,,,,,,683,83,2,8302,2009,2,Common Moor,6,,,1,39994,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68401,1701,,,,,,,684,83,3,8303,2009,2,Common Moor,1,,,1,39995,3,0,1,0,0,0,1,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,1,(..1),0,0,1,0,0,0,0
68402,1702,,,,,,,684,83,3,8303,2009,2,Common Moor,2,,,1,39995,3,0,1,0,0,0,1,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,1,0,0,0,1,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68403,1703,,,,,,,684,83,3,8303,2009,2,Common Moor,3,,,1,39995,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68404,1704,,,,,,,684,83,3,8303,2009,2,Common Moor,4,,,1,39995,3,0,3,0,0,0,1,2,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,3,0,0,0,1,2,0,0,0
68405,1705,,,,,,,684,83,3,8303,2009,2,Common Moor,5,,,1,39995,3,0,10,0,0,0,7,3,0,0,0,P,3,0,0,0,3,0,0,0,0,C,3,0,0,0,3,0,0,0,0,C,4,(..2),0,0,1,3,0,0,0
68406,1706,,,,,,,684,83,3,8303,2009,2,Common Moor,6,,,1,39995,3,0,3,0,0,0,1,2,0,0,0,P,1,(..1),0,0,1,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,2,0,0,0,0,2,0,0,0
68501,1707,,,,,,,685,83,4,8304,2009,2,Common Moor,1,,,1,39995,3,0,9,1,0,0,7,1,0,0,0,P,7,1,0,0,6,0,0,0,0,P,2,0,0,0,1,1,0,0,0,C,0,0,0,0,0,0,0,0,0
68502,1708,,,,,,,685,83,4,8304,2009,2,Common Moor,2,,,1,39995,3,0,5,0,2,0,3,0,0,0,0,P,2,0,0,0,2,0,0,0,0,C,2,(..1),2,0,0,0,0,0,0,P,1,0,0,0,1,0,0,0,0
68503,1709,,,,,,,685,83,4,8304,2009,2,Common Moor,3,,,1,39995,3,0,2,0,0,0,2,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,0,0,1,0,0,0,0,P,1,0,0,0,1,0,0,0,0
68504,1710,,,,,,,685,83,4,8304,2009,2,Common Moor,4,,,1,39995,3,0,1,0,0,0,1,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,1,0,0,0,1,0,0,0,0
68505,1711,,,,,,,685,83,4,8304,2009,2,Common Moor,5,,,1,39995,3,0,1,0,0,0,1,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,1,0,0,0,1,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68506,1712,,,,,,,685,83,4,8304,2009,2,Common Moor,6,,,1,39995,3,0,1,0,0,0,1,0,0,0,0,P,1,0,0,0,1,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68601,1713,,,,,,,686,84,1,8401,2009,2,Walton Moor,1,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68602,1714,,,,,,,686,84,1,8401,2009,2,Walton Moor,2,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68603,1715,,,,,,,686,84,1,8401,2009,2,Walton Moor,3,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68604,1716,,,,,,,686,84,1,8401,2009,2,Walton Moor,4,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68605,1717,,,,,,,686,84,1,8401,2009,2,Walton Moor,5,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68606,1718,,,,,,,686,84,1,8401,2009,2,Walton Moor,6,,,3,39995,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68701,1719,,,,,,,687,84,2,8402,2009,2,Walton Moor,1,,,3,39995,3,0,44,0,0,0,44,0,0,0,0,C,11,(..3),0,0,11,0,0,0,0,D,24,(16?),0,0,24,0,0,0,0,C,9,(..2),0,0,9,0,0,0,0
68702,1720,,,,,,,687,84,2,8402,2009,2,Walton Moor,2,,,3,39995,3,0,59,0,0,0,59,0,0,0,0,P,10,0,0,0,10,0,0,0,0,C,27,0,0,0,27,0,0,0,0,C,22,0,0,0,22,0,0,0,0
68703,1721,,,,,,,687,84,2,8402,2009,2,Walton Moor,3,,,3,39995,3,0,34,0,0,0,34,0,0,0,0,D,16,0,0,0,16,0,0,0,0,P,10,(..1),0,0,10,0,0,0,0,P,8,0,0,0,8,0,0,0,0
68704,1722,,,,,,,687,84,2,8402,2009,2,Walton Moor,4,,,3,39995,3,0,58,0,0,0,58,0,0,0,0,P,7,0,0,0,7,0,0,0,0,D,31,0,0,0,31,0,0,0,0,P,20,0,0,0,20,0,0,0,0
68705,1723,,,,,,,687,84,2,8402,2009,2,Walton Moor,5,,,3,39995,3,0,15,0,0,0,15,0,0,0,0,P,2,(..2),0,0,2,0,0,0,0,D,2,0,0,0,2,0,0,0,0,C,11,0,0,0,11,0,0,0,0
68706,1724,,,,,,,687,84,2,8402,2009,2,Walton Moor,6,,,3,39995,3,0,14,0,1,0,13,0,0,0,0,C,6,(..1),1,0,5,0,0,0,0,P,2,(..3),0,0,2,0,0,0,0,D,6,(..1),0,0,6,0,0,0,0
68801,1725,,,,,,,688,84,3,8403,2009,2,Walton Moor,1,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68802,1726,,,,,,,688,84,3,8403,2009,2,Walton Moor,2,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68803,1727,,,,,,,688,84,3,8403,2009,2,Walton Moor,3,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68804,1728,,,,,,,688,84,3,8403,2009,2,Walton Moor,4,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68805,1729,,,,,,,688,84,3,8403,2009,2,Walton Moor,5,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68806,1730,,,,,,,688,84,3,8403,2009,2,Walton Moor,6,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68901,1731,,,,,,,689,84,4,8404,2009,2,Walton Moor,1,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
68902,1732,,,,,,,689,84,4,8404,2009,2,Walton Moor,2,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68903,1733,,,,,,,689,84,4,8404,2009,2,Walton Moor,3,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68904,1734,,,,,,,689,84,4,8404,2009,2,Walton Moor,4,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
68905,1735,,,,,,,689,84,4,8404,2009,2,Walton Moor,5,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
68906,1736,,,,,,,689,84,4,8404,2009,2,Walton Moor,6,,,3,39996,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
69001,1737,,,,,,,690,85,1,8501,2009,2,Aller Moor,1,,,1,40000,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
69002,1738,,,,,,,690,85,1,8501,2009,2,Aller Moor,2,,,1,40000,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
69003,1739,,,,,,,690,85,1,8501,2009,2,Aller Moor,3,,,1,40000,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0
69004,1740,,,,,,,690,85,1,8501,2009,2,Aller Moor,4,,,1,40000,3,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0
69005,1741,,,,,,,690,85,1,8501,2009,2,Aller Moor,5,,,1,40000,3,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0
